309	880	64	+
230	512	64	-
459	982	64	+
61	576	64	+
442	967	64	-
199	327	64	+
229	452	64	+
339	752	64	-
188	978	64	+
104	925	64	+
104	451	64	+
543	925	64	-
296	902	64	+
655	877	64	-
819	843	64	+
731	765	64	+
553	891	64	-
40	218	64	+
595	655	64	+
83	738	64	+
743	765	64	-
56	194	64	-
710	978	64	-
337	781	64	-
151	537	63	-
287	745	63	+
190	556	62	+
252	336	62	+
69	832	62	+
581	779	61	+
583	834	61	+
621	698	61	+
392	870	61	+
56	340	61	+
534	887	60	-
538	973	60	+
599	841	60	+
455	839	60	-
574	743	60	+
77	1001	59	-
83	710	59	+
346	970	59	+
179	651	59	+
191	956	59	-
22	510	59	+
450	724	59	+
426	967	59	+
365	592	59	+
275	511	59	-
173	426	59	-
654	847	58	-
56	232	58	-
754	978	58	-
177	646	58	+
683	718	58	-
204	455	58	-
593	755	57	-
303	339	57	+
206	757	57	-
713	749	57	+
699	906	57	+
893	996	57	+
82	706	57	+
608	825	57	-
71	619	57	+
244	619	57	-
125	571	57	-
34	188	57	-
294	323	56	+
83	754	56	+
83	978	56	-
306	859	56	+
734	801	56	+
46	533	56	+
136	609	56	-
549	975	56	+
567	628	56	+
145	294	56	+
151	880	56	+
128	515	56	+
208	245	56	+
277	737	56	+
532	818	55	+
25	447	55	+
417	604	55	-
281	689	55	+
614	873	55	+
840	953	55	+
256	383	55	+
317	533	55	-
414	683	55	+
396	727	55	+
624	980	55	+
646	796	55	+
103	614	55	+
505	821	55	-
654	736	55	+
325	710	55	+
113	869	55	+
384	881	55	-
660	979	55	+
339	966	55	+
602	801	55	+
120	583	55	+
811	973	55	+
405	743	54	+
296	704	54	+
450	867	54	+
71	761	54	-
609	612	54	-
619	918	54	+
736	992	54	-
253	415	54	+
1	361	54	-
182	956	54	+
168	527	54	-
281	609	54	-
30	386	54	-
606	755	54	+
59	180	54	-
587	599	54	+
264	426	54	-
274	736	54	-
306	710	54	+
306	978	54	-
241	699	54	-
455	898	54	+
177	659	53	-
83	172	53	-
216	662	53	+
90	770	53	-
253	987	53	-
771	870	53	+
707	777	53	+
114	924	53	+
825	870	53	+
69	301	53	+
746	855	53	+
46	317	53	-
98	920	53	-
38	775	53	+
226	593	53	-
34	754	53	+
34	882	53	-
426	595	53	+
95	555	53	+
283	353	53	+
296	465	53	+
659	884	53	-
11	585	53	+
136	281	53	+
504	883	53	+
916	957	53	+
678	890	53	+
746	848	53	+
