484	765	32	+
339	755	32	-
396	459	32	+
396	463	32	+
396	715	32	+
459	463	32	+
459	715	32	+
463	715	32	+
79	925	32	+
84	593	32	-
476	484	32	-
506	979	32	+
753	899	32	+
299	770	32	-
141	442	32	-
859	988	32	+
172	859	32	-
172	988	32	-
338	625	32	+
420	881	32	+
98	969	32	+
207	573	32	+
209	360	32	+
328	496	32	+
584	669	32	+
46	408	32	-
65	284	32	+
771	772	32	-
320	805	32	+
133	646	32	-
198	975	32	+
264	270	32	+
601	952	32	+
90	417	32	+
405	463	32	-
292	531	32	-
229	366	32	+
229	452	32	+
366	452	32	+
687	968	32	-
889	972	32	+
377	385	32	+
72	352	32	-
341	447	32	+
484	840	32	-
246	621	32	+
142	179	32	+
142	370	32	+
179	370	32	+
163	785	32	+
159	999	32	+
412	643	32	-
475	659	32	+
475	646	32	-
475	884	32	-
659	884	32	-
646	659	32	-
646	884	32	+
500	742	32	+
391	906	32	+
478	631	32	+
24	468	32	+
176	559	32	-
182	956	32	+
180	182	32	-
180	956	32	-
158	744	32	+
101	528	32	+
101	614	32	+
528	614	32	+
802	971	32	+
7	831	32	+
34	754	32	+
100	286	32	+
100	339	32	+
286	339	32	+
184	471	32	+
834	902	32	-
104	925	32	+
209	510	32	-
620	990	32	+
201	878	32	+
182	321	32	-
180	321	32	+
771	870	32	+
549	975	32	+
188	882	32	+
236	244	32	-
173	925	32	+
372	987	32	-
193	425	32	+
339	593	32	+
724	798	32	+
629	997	32	+
798	867	32	+
147	199	32	+
98	801	32	+
533	885	32	+
219	535	32	+
296	704	32	+
296	902	32	+
704	902	32	+
162	823	32	+
162	741	32	-
741	823	32	-
493	737	32	-
821	934	32	+
678	890	32	+
459	784	32	+
599	713	32	+
232	849	32	+
520	880	32	-
151	154	32	+
151	372	32	+
154	372	32	+
438	700	32	+
785	812	32	-
115	671	32	+
199	327	32	+
274	698	32	-
71	851	32	+
136	954	32	-
375	772	32	-
466	570	32	+
466	640	32	-
570	640	32	-
618	992	32	+
223	622	32	+
298	949	32	-
61	628	32	+
242	721	32	+
98	949	32	+
206	991	32	-
650	678	32	+
163	898	32	-
625	851	32	+
90	770	32	-
181	609	32	+
193	523	32	-
741	891	32	-
480	738	32	-
427	938	32	+
162	344	32	-
829	933	32	+
75	758	32	+
659	805	32	-
724	757	32	+
512	778	32	+
2	385	32	+
2	459	32	+
385	459	32	+
337	431	32	-
685	999	32	-
287	352	32	+
179	937	32	+
328	472	32	-
216	662	32	+
237	294	32	+
361	514	32	+
253	339	32	-
57	310	32	+
414	527	32	+
156	559	32	+
41	561	32	+
41	838	32	+
561	838	32	+
404	878	32	+
5	601	32	-
406	625	32	+
65	243	32	-
317	533	32	-
138	920	32	-
210	676	32	+
210	999	32	+
676	999	32	+
21	751	32	+
224	265	32	+
496	516	32	+
158	247	32	+
158	583	32	-
247	583	32	-
317	596	32	+
189	410	32	-
133	722	32	-
873	932	32	+
558	815	32	-
205	315	32	+
22	926	32	+
487	951	32	-
595	967	32	+
208	245	32	+
51	936	32	+
154	253	32	+
154	924	32	-
253	924	32	-
34	325	32	+
325	754	32	+
341	832	32	-
383	730	32	-
236	266	32	+
8	492	32	+
361	496	32	+
516	632	32	+
82	301	32	-
876	952	32	+
495	621	32	-
22	510	32	+
113	869	32	+
113	923	32	+
869	923	32	+
39	325	32	-
34	39	32	-
386	959	32	-
379	643	32	-
84	414	32	+
602	965	32	+
1	600	32	-
480	519	32	+
881	948	32	+
256	383	32	+
31	797	32	+
207	857	32	+
66	877	32	+
480	754	32	-
273	375	32	+
273	341	32	-
198	273	32	-
198	375	32	-
198	341	32	+
341	375	32	-
65	986	32	+
599	747	32	+
154	591	32	+
154	592	32	+
591	924	32	-
591	592	32	+
592	924	32	-
385	458	32	+
239	815	32	+
376	999	32	+
72	459	32	+
199	707	32	+
174	946	32	+
365	683	32	+
77	888	32	-
306	988	32	+
463	1001	32	+
154	226	32	+
458	459	32	+
288	462	32	+
103	617	32	+
177	883	32	-
402	929	32	-
517	934	32	+
65	653	32	-
21	221	32	+
31	386	32	+
450	724	32	+
83	882	32	-
462	819	32	-
437	745	32	+
304	511	32	-
244	401	32	+
163	857	32	+
275	553	32	-
760	887	32	+
189	779	32	+
104	451	32	+
688	986	32	-
423	977	32	+
313	361	32	-
756	873	32	+
444	505	32	+
46	665	32	-
32	757	32	+
266	851	32	+
346	605	32	-
13	192	32	+
567	576	32	+
437	741	32	+
168	862	32	+
168	755	32	-
755	862	32	-
365	592	32	+
262	490	32	+
82	608	32	+
426	967	32	+
264	426	32	-
264	967	32	-
188	738	32	-
83	188	32	-
83	738	32	+
156	761	32	+
381	627	32	+
302	457	32	-
825	870	32	+
772	825	32	-
772	870	32	-
235	527	32	-
133	475	32	+
79	403	32	+
221	751	32	+
175	854	32	+
377	458	32	+
160	842	32	+
287	745	32	+
88	173	32	-
714	877	32	+
165	726	32	+
165	991	32	+
726	991	32	+
194	457	32	+
222	416	32	+
122	858	32	+
140	959	32	+
69	482	32	+
256	447	32	+
365	755	32	+
56	993	32	+
764	836	32	+
376	749	32	+
313	632	32	+
129	494	32	-
230	927	32	+
236	851	32	+
335	392	32	+
44	219	32	+
556	707	32	+
565	936	32	+
565	803	32	-
117	470	32	-
278	659	32	+
182	226	32	+
173	409	32	-
133	278	32	+
369	672	32	+
363	624	32	+
621	819	32	+
315	558	32	+
353	593	32	+
504	708	32	-
168	226	32	-
403	925	32	+
500	781	32	-
93	397	32	-
626	750	32	+
875	927	32	+
159	512	32	-
842	848	32	-
746	842	32	-
746	848	32	+
34	633	32	-
173	877	32	+
400	911	32	-
212	861	32	+
221	972	32	+
340	847	32	+
127	410	32	+
370	937	32	+
247	822	32	+
9	903	32	+
324	490	32	+
340	871	32	+
246	558	32	-
274	654	32	-
390	541	32	+
390	816	32	+
541	816	32	+
653	688	32	+
299	316	32	+
316	770	32	-
51	836	32	+
493	986	32	-
98	734	32	+
83	480	32	-
83	754	32	+
136	486	32	+
356	626	32	+
283	966	32	+
283	590	32	-
590	966	32	-
235	286	32	+
595	908	32	+
264	595	32	-
264	908	32	-
747	841	32	+
839	955	32	+
466	839	32	-
466	955	32	-
743	765	32	-
357	833	32	+
580	898	32	-
30	31	32	-
171	584	32	+
63	875	32	-
172	633	32	+
811	831	32	+
112	532	32	+
46	364	32	-
497	968	32	+
99	953	32	-
834	989	32	+
396	813	32	+
71	625	32	+
665	900	32	+
335	870	32	-
290	455	32	-
77	290	32	-
77	455	32	+
278	722	32	-
230	676	32	+
581	779	32	+
438	529	32	+
529	700	32	+
273	301	32	+
664	949	32	+
749	841	32	+
31	585	32	+
361	368	32	-
65	277	32	+
712	840	32	-
85	796	32	-
880	966	32	-
339	577	32	+
258	448	32	+
621	896	32	-
365	895	32	-
765	955	32	+
122	702	32	+
403	819	32	+
284	653	32	-
284	688	32	-
404	961	32	+
268	682	32	+
103	494	32	+
527	755	32	+
496	600	32	-
132	337	32	-
335	608	32	-
504	805	32	-
218	625	32	+
4	365	32	-
125	741	32	+
141	481	32	-
587	749	32	+
728	797	32	+
160	377	32	-
160	890	32	+
160	385	32	-
385	890	32	-
18	618	32	+
604	774	32	-
604	770	32	+
770	774	32	-
85	504	32	+
209	428	32	+
85	659	32	+
5	895	32	-
352	745	32	+
277	653	32	-
230	875	32	+
676	875	32	+
718	833	32	+
127	820	32	+
553	823	32	-
112	609	32	+
646	722	32	+
760	969	32	+
46	259	32	-
162	304	32	+
61	567	32	+
567	628	32	+
549	772	32	+
284	737	32	+
700	928	32	+
629	676	32	-
77	857	32	-
175	223	32	+
734	946	32	+
292	734	32	-
292	946	32	-
459	982	32	+
177	708	32	+
588	772	32	-
390	508	32	+
576	824	32	+
320	667	32	+
2	982	32	+
266	406	32	+
180	705	32	-
188	710	32	-
188	907	32	-
710	907	32	+
147	556	32	+
442	967	32	-
277	737	32	+
83	701	32	-
296	505	32	+
505	902	32	+
372	974	32	+
14	790	32	+
559	652	32	-
559	856	32	-
652	856	32	+
334	600	32	-
491	709	32	+
558	947	32	-
7	185	32	+
385	786	32	+
31	58	32	+
758	929	32	-
141	426	32	+
620	983	32	+
713	841	32	+
667	788	32	-
304	823	32	+
