id1,id2,match_len,is_rc,score
327,631,32,+,284.4620973092518
552,740,32,+,275.8830284385716
658,871,32,+,275.11045326857743
64,283,32,+,275.0912286528356
293,322,32,+,274.2423011965048
273,287,32,+,273.24058534627943
824,869,32,+,273.0287239454783
619,989,32,+,272.4808719872307
81,361,32,+,272.25880636204494
464,703,32,+,271.32854872407927
197,361,32,+,271.26237361034055
174,249,32,+,269.2767750912797
756,866,32,+,269.2047040319865
0,495,32,+,269.1901708968797
327,495,32,+,269.1384900819088
352,717,32,+,268.2643933742268
528,927,32,+,267.3237666354277
391,869,32,+,266.323726862216
458,783,18,-,266.05347114884785
458,783,32,+,266.05347114884785
29,967,32,+,265.8395521573612
503,871,32,+,265.05972124331953
211,615,32,+,264.4931397242342
33,753,32,+,264.1032332112525
399,952,32,+,264.0642203323501
173,968,32,+,263.5418676579181
33,324,32,+,262.87118287987187
82,753,32,+,262.7019311863075
64,276,32,+,262.55053113845145
726,956,32,+,262.29669012761036
391,724,32,+,262.04582295985324
0,327,32,+,261.94898332320554
618,624,32,+,261.84264455887615
324,709,32,+,261.0871312593646
98,711,32,+,261.0284854127119
351,744,32,+,260.654830515421
458,714,32,+,260.59092053388105
698,780,32,+,260.5008206546951
33,906,32,+,260.4566330706108
594,966,32,+,260.10490224973853
380,650,32,+,259.854905650657
181,955,32,+,259.74981979394244
425,966,32,+,259.44942493535666
276,283,32,+,259.35233588595935
770,869,32,+,258.95517152644925
425,994,32,+,258.865043342262
127,610,32,+,258.85296075606027
68,374,32,+,258.37343867453177
174,621,32,+,258.2846470402005
56,562,32,+,258.2346388648186
479,700,32,+,257.7999566751624
319,666,32,+,257.60998102343166
295,504,32,+,257.45105336719047
113,519,32,+,256.66338699528313
31,723,32,+,256.46408498463853
17,314,32,+,255.83375599848188
770,824,32,+,255.67420348882257
575,694,32,+,255.29884514516965
30,584,32,+,255.22564923143855
338,592,32,+,255.15224205391158
378,533,32,+,255.02935161167426
290,801,32,+,254.3891258290084
29,643,32,+,254.33134860967652
171,977,32,+,254.22250425476344
461,895,32,+,254.06653898732642
33,858,32,+,253.93061706978213
243,400,32,+,253.75236311611272
390,780,32,+,253.33190584966994
850,917,32,+,253.00015534282937
228,365,32,+,252.66902956463073
472,635,32,+,252.60978265269065
352,832,32,+,252.54210840946686
76,454,32,+,252.37146923556645
174,222,32,+,252.32205033464305
820,833,32,+,251.96473562435034
295,901,32,+,251.95194543484916
288,967,32,+,251.9290767473076
677,889,32,+,251.90429847498058
218,877,32,+,251.5849494678486
