71	176	32	+
397	723	32	+
459	855	32	+
426	967	32	+
328	496	32	+
328	514	32	+
496	514	32	+
274	288	32	+
279	1000	32	+
245	959	32	+
593	966	32	+
543	996	32	+
90	417	32	+
376	875	32	+
317	971	32	+
678	890	32	+
9	216	32	+
325	738	32	+
786	982	32	+
458	463	32	+
458	746	32	+
458	855	32	+
463	746	32	+
463	855	32	+
746	855	32	+
521	909	32	+
621	736	32	+
554	773	32	+
136	281	32	+
325	859	32	+
525	881	32	+
33	948	32	+
164	262	32	+
484	911	32	+
216	354	32	+
142	268	32	+
806	951	32	+
650	678	32	+
812	898	32	+
523	885	32	+
300	736	32	+
300	947	32	+
736	947	32	+
641	858	32	+
740	776	32	+
346	970	32	+
372	752	32	+
162	546	32	+
276	508	32	+
872	883	32	+
497	968	32	+
729	981	32	+
863	965	32	+
13	890	32	+
34	83	32	+
34	859	32	+
83	859	32	+
802	917	32	+
85	504	32	+
669	692	32	+
614	873	32	+
619	625	32	+
248	428	32	+
145	933	32	+
95	555	32	+
293	782	32	+
25	341	32	+
281	486	32	+
24	317	32	+
321	865	32	+
881	948	32	+
264	442	32	+
526	765	32	+
879	944	32	+
598	740	32	+
77	466	32	+
372	591	32	+
576	824	32	+
659	788	32	+
414	592	32	+
61	695	32	+
235	283	32	+
438	928	32	+
521	820	32	+
549	975	32	+
370	381	32	+
247	744	32	+
559	761	32	+
119	1002	32	+
31	386	32	+
75	402	32	+
659	872	32	+
219	878	32	+
395	657	32	+
156	559	32	+
16	472	32	+
4	303	32	+
446	579	32	+
476	731	32	+
962	969	32	+
532	609	32	+
51	565	32	+
45	376	32	+
725	870	32	+
329	437	32	+
381	434	32	+
59	956	32	+
661	784	32	+
576	667	32	+
457	761	32	+
267	911	32	+
73	722	32	+
485	891	32	+
60	868	32	+
120	583	32	+
168	235	32	+
842	979	32	+
69	588	32	+
365	592	32	+
244	456	32	+
514	632	32	+
121	268	32	+
504	883	32	+
608	772	32	+
480	519	32	+
480	978	32	+
519	978	32	+
877	957	32	+
12	889	32	+
410	521	32	+
431	906	32	+
30	200	32	+
848	855	32	+
179	312	32	+
179	651	32	+
312	651	32	+
386	585	32	+
39	633	32	+
335	825	32	+
13	745	32	+
604	899	32	+
811	831	32	+
200	968	32	+
59	719	32	+
613	663	32	+
567	628	32	+
875	927	32	+
198	362	32	+
643	734	32	+
344	511	32	+
182	956	32	+
246	930	32	+
340	871	32	+
357	718	32	+
820	909	32	+
157	857	32	+
138	969	32	+
174	501	32	+
393	550	32	+
327	766	32	+
384	488	32	+
747	749	32	+
934	989	32	+
114	520	32	+
446	668	32	+
415	711	32	+
415	974	32	+
711	974	32	+
30	289	32	+
160	842	32	+
302	340	32	+
529	928	32	+
625	918	32	+
624	980	32	+
165	798	32	+
4	593	32	+
104	925	32	+
192	287	32	+
171	584	32	+
207	839	32	+
239	815	32	+
256	383	32	+
587	776	32	+
511	553	32	+
195	750	32	+
98	801	32	+
621	654	32	+
75	758	32	+
531	602	32	+
531	949	32	+
602	949	32	+
299	417	32	+
166	199	32	+
263	617	32	+
347	919	32	+
106	421	32	+
100	286	32	+
157	839	32	+
113	869	32	+
464	545	32	+
464	925	32	+
545	925	32	+
535	961	32	+
191	865	32	+
606	755	32	+
7	538	32	+
796	805	32	+
155	244	32	+
168	795	32	+
14	418	32	+
749	775	32	+
749	776	32	+
775	776	32	+
426	995	32	+
229	452	32	+
4	283	32	+
771	870	32	+
218	406	32	+
113	923	32	+
781	906	32	+
446	837	32	+
355	707	32	+
291	917	32	+
294	829	32	+
196	292	32	+
453	991	32	+
734	965	32	+
254	409	32	+
129	394	32	+
423	977	32	+
580	785	32	+
498	537	32	+
207	857	32	+
207	888	32	+
857	888	32	+
218	266	32	+
218	625	32	+
218	851	32	+
266	625	32	+
266	851	32	+
625	851	32	+
21	387	32	+
264	270	32	+
404	878	32	+
404	961	32	+
878	961	32	+
217	362	32	+
439	484	32	+
24	408	32	+
91	596	32	+
443	812	32	+
528	809	32	+
355	556	32	+
752	880	32	+
111	850	32	+
120	821	32	+
179	381	32	+
381	651	32	+
198	608	32	+
622	854	32	+
199	707	32	+
797	958	32	+
277	986	32	+
171	669	32	+
252	319	32	+
772	935	32	+
163	857	32	+
65	737	32	+
140	959	32	+
427	680	32	+
40	218	32	+
243	653	32	+
515	810	32	+
150	861	32	+
392	870	32	+
232	901	32	+
209	605	32	+
164	490	32	+
296	902	32	+
838	1002	32	+
101	614	32	+
559	735	32	+
184	369	32	+
240	836	32	+
431	699	32	+
862	966	32	+
156	469	32	+
345	945	32	+
250	860	32	+
893	996	32	+
290	573	32	+
528	614	32	+
338	918	32	+
159	230	32	+
212	332	32	+
553	741	32	+
128	611	32	+
710	754	32	+
710	859	32	+
754	859	32	+
189	915	32	+
661	982	32	+
89	697	32	+
769	931	32	+
317	425	32	+
367	691	32	+
107	495	32	+
137	206	32	+
618	992	32	+
171	740	32	+
104	451	32	+
250	622	32	+
457	562	32	+
786	848	32	+
140	200	32	+
142	312	32	+
142	651	32	+
88	655	32	+
591	592	32	+
430	629	32	+
274	462	32	+
352	745	32	+
171	776	32	+
782	914	32	+
137	225	32	+
142	179	32	+
155	804	32	+
535	878	32	+
88	491	32	+
147	199	32	+
3	704	32	+
624	985	32	+
180	321	32	+
32	450	32	+
432	883	32	+
1	514	32	+
477	615	32	+
229	366	32	+
366	452	32	+
83	710	32	+
173	925	32	+
104	639	32	+
271	889	32	+
374	488	32	+
309	880	32	+
176	864	32	+
84	415	32	+
664	801	32	+
291	802	32	+
51	836	32	+
51	980	32	+
836	980	32	+
1	496	32	+
313	514	32	+
209	428	32	+
64	690	32	+
65	284	32	+
31	585	32	+
764	836	32	+
376	749	32	+
4	582	32	+
411	519	32	+
411	978	32	+
536	716	32	+
84	590	32	+
417	645	32	+
583	660	32	+
328	371	32	+
171	692	32	+
927	999	32	+
106	723	32	+
84	255	32	+
185	721	32	+
198	975	32	+
602	801	32	+
175	622	32	+
408	665	32	+
459	661	32	+
5	662	32	+
130	240	32	+
141	409	32	+
501	887	32	+
239	930	32	+
163	204	32	+
163	888	32	+
204	888	32	+
193	364	32	+
99	439	32	+
465	902	32	+
681	915	32	+
593	924	32	+
599	841	32	+
599	910	32	+
841	910	32	+
163	290	32	+
274	896	32	+
283	582	32	+
583	834	32	+
206	225	32	+
779	951	32	+
34	738	32	+
584	587	32	+
361	472	32	+
25	383	32	+
376	599	32	+
376	775	32	+
599	775	32	+
692	776	32	+
71	619	32	+
71	625	32	+
710	738	32	+
112	532	32	+
180	732	32	+
325	754	32	+
232	849	32	+
393	922	32	+
133	883	32	+
253	415	32	+
253	683	32	+
415	683	32	+
398	672	32	+
296	444	32	+
626	697	32	+
54	265	32	+
14	656	32	+
206	984	32	+
325	907	32	+
125	542	32	+
9	904	32	+
849	901	32	+
404	535	32	+
432	659	32	+
367	490	32	+
967	995	32	+
785	888	32	+
291	971	32	+
917	971	32	+
676	747	32	+
11	728	32	+
511	741	32	+
103	631	32	+
581	779	32	+
371	514	32	+
782	800	32	+
555	566	32	+
63	685	32	+
359	441	32	+
87	819	32	+
713	775	32	+
83	738	32	+
127	909	32	+
232	265	32	+
232	422	32	+
232	463	32	+
232	540	32	+
232	641	32	+
232	841	32	+
232	866	32	+
232	889	32	+
232	917	32	+
265	422	32	+
265	463	32	+
265	540	32	+
265	641	32	+
265	841	32	+
265	866	32	+
265	889	32	+
265	917	32	+
422	463	32	+
422	540	32	+
422	641	32	+
422	841	32	+
422	866	32	+
422	889	32	+
422	917	32	+
463	540	32	+
463	641	32	+
463	841	32	+
463	866	32	+
463	889	32	+
463	917	32	+
540	641	32	+
540	841	32	+
540	866	32	+
540	889	32	+
540	917	32	+
641	841	32	+
641	866	32	+
641	889	32	+
641	917	32	+
841	866	32	+
841	889	32	+
841	917	32	+
866	889	32	+
866	917	32	+
889	917	32	+
200	208	32	+
83	754	32	+
